Issue Number,Issue Title,Issue Author(s),Issue Editor(s),Keywords
"#1180","Death Doesn't Discriminate","Jutsa","Zwangzug",""
"#1181","Jolly Jousting Japes","Nuremgard","Altmer Dominion",""
"#1182","Thanks, but No Thanks","Chan Island","Candlewhisper Archive",""
"#1183","Bloodied but Unbowed","Frieden-und Freudenland","Baggieland",""
"#1184","Wring Out Your Dead","Caracasus","The Marsupial Illuminati",""
"#1185","Should Be Sufficient","Jutsa","Candlewhisper Archive",""
"#1186","The Magic's Gone","Candlewhisper Archive","USS Monitor",""
"#1187","Tipping Point","Candlewhisper Archive","Zwangzug",""
"#1188","The Only Good Criminal","Jutsa","Candlewhisper Archive",""
"#1189","Driven to Distraction","Candlewhisper Archive","Candlewhisper Archive",""
"#1190","Dirty Laundry","The Sakhalinsk Empire","Zwangzug",""
"#1191","Intelligent Design","Kylarnatia","The Marsupial Illuminati",""
"#1192","Child's Play","The Free Joy State","Candlewhisper Archive",""
"#1193","Relocating the Living Room","Baggieland","Baggieland",""
"#1194","Lost in Translation","Serilin","USS Monitor",""
"#1195","All Hands On Tap","Frieden-und Freudenland","Candlewhisper Archive",""
"#1196","The Properties of Property","Candlewhisper Archive","The Marsupial Illuminati",""
"#1197","Aflame with Indignity","Pogaria","The Marsupial Illuminati",""
"#1198","The Death Debate Isn't Dead Yet","Zyris","Baggieland",""
"#1199","Locked Down","Queen Yuno","Candlewhisper Archive",""
"#1200","Choose Your God Wisely","Baggieland","The Free Joy State",""
"#1201","Tell Me Sweet Little Lies","Kurnugia","The Marsupial Illuminati",""
"#1202","A Timely Intervention","The New California Republic","The Free Joy State",""
"#1203","The Fandom Menace","Chrimbus","Zwangzug",""
"#1204","Homecoming Queen","GeodesicDragon","The Marsupial Illuminati",""
"#1205","Heir Today, Gone Tomorrow","Luna Amore","The Free Joy State",""
"#1206","Gross Domestic Product","The Marsupial Illuminati","Candlewhisper Archive",""
"#1207","Next, Please!","Candlewhisper Archive","Candlewhisper Archive",""
"#1208","Just Snoring With Excitement","Midand","Zwangzug",""
"#1209","Your Island Is My Island","The United Lands of Ash","Baggieland",""
"#1210","Big Tobacco in Big Trouble","Nation of Quebec","Candlewhisper Archive",""
"#1211","Free Credit Reports With Monitoring","Japanese Schoolgirls","The Marsupial Illuminati",""
"#1212","Lost at Sea","The Super Fork","Baggieland",""
"#1213","The War of Man and Beast","Jutsa","Zwangzug",""
"#1214","Blood Type: Gay Positive","Endraas","Sanctaria",""
"#1215","A New Age","Baggieland","Candlewhisper Archive",""
"#1216","Not My Government","Nation of Quebec","Candlewhisper Archive",""
"#1217","Monkey Business","Nation of Quebec","Baggieland",""
"#1218","Due Processing","Autonomous Cleaner Bot Cleaners","The Marsupial Illuminati",""
"#1219","Vat Is a Serious Problem","Pogaria","The Free Joy State",""
"#1220","Barely Any Art","Devil Heart","Candlewhisper Archive",""
"#1221","Man of the People","Candlewhisper Archive","Candlewhisper Archive",""
"#1222","Family Matters","Candlewhisper Archive","The Free Joy State",""
"#1223","Courting Bankruptcy","Nuremgard","The Marsupial Illuminati",""
"#1224","Shine On, You Crazy Diamond","Verdant Haven","Altmer Dominion",""
"#1225","The Rumors, They Fly","USS Monitor","Candlewhisper Archive",""
"#1226","Unintelligent Oversight","Valrifell","Altmer Dominion",""
"#1227","Girls on Film","Candlewhisper Archive","Baggieland",""
"#1228","The Road to Hell","Baggieland","Baggieland",""
"#1229","Crystal Clear Sinuses","Candensia","Candlewhisper Archive",""
"#1230","Home Hunger","Chan Island","The Marsupial Illuminati",""
"#1231","Save Our Souls","The Free Joy State","The Free Joy State",""
"#1232","I've Got 99 Problems but @@FAITH@@ Ain't One","Altmer Dominion","Zwangzug",""
"#1233","Get Real!","The Free Joy State","Candlewhisper Archive",""
"#1234","I Declare a Thumb War","Verdant Haven","Candlewhisper Archive",""
"#1235","Good Guy With a Gun","Candlewhisper Archive","The Marsupial Illuminati",""
"#1236","Being Honest","USS Monitor","Candlewhisper Archive",""
"#1237","A Polar Bear's Tale","Australian rePublic","Baggieland",""
"#1238","No Shoes, No Service","Sacara","Candlewhisper Archive",""
"#1239","The Walking, Talking, and Irritated Dead","Window Land","Baggieland",""
"#1240","Unadmirable Zeal","Nation of Quebec","Candlewhisper Archive",""
"#1241","Return Statement","Autonomous Cleaner Bot Cleaners","Candlewhisper Archive",""
"#1242","Jump Leads","Candlewhisper Archive","Baggieland",""
"#1243","Kicking Back","Verdant Haven","Baggieland",""
"#1244","Mooning the Flag","Bormiar","Zwangzug",""
"#1245","Sheepish Students","Baggieland","Candlewhisper Archive",""
"#1246","Breath of the Wild","Nation of Quebec","Baggieland",""
"#1247","Suspension of the Disbelieved","Candlewhisper Archive","Candlewhisper Archive",""
"#1248","A Day To Remember","SherpDaWerp","Candlewhisper Archive",""
"#1249","Red Dead Representatives","Old Northwest","Zwangzug",""
"#1250","@@NAME@@'s Next Top Mohel","Candlewhisper Archive","The Marsupial Illuminati",""
"#1251","The Making of a Mass Murderer","Nation of Quebec","Candlewhisper Archive",""
"#1252","Ale to the Chief","Baggieland","Baggieland",""
"#1253","Build a Better Baby?","Hediacrana","Candlewhisper Archive",""
"#1254","Sales on Rails","Mondrina","Candlewhisper Archive",""
"#1255","This Lady's Not for Turning","Candlewhisper Archive","Candlewhisper Archive",""
"#1256","Train in Vain","Australian rePublic","Baggieland",""
"#1257","It's a Kind of Magic","Podium","Altmer Dominion",""
"#1258","Henceforward Shall Be Free","The Sakhalinsk Empire","Baggieland",""
"#1259","Buy Low, Sell High","Nation of Quebec","Candlewhisper Archive",""
"#1260","Gay Abandoned","Nuremgard","The Free Joy State",""
"#1261","Anything You Can Do, I Can Do Better","Chan Island","Candlewhisper Archive",""
"#1262","Dead Tasty","Ostanasia","Baggieland",""
"#1263","Is the Signature Always Right?","San Pera","Altmer Dominion",""
"#1264","Flooding the Market","Nation of Quebec","Candlewhisper Archive",""
"#1265","The Silent Majority's Roaring Mouthpiece","Nation of Quebec","Luna Amore",""
"#1266","Pink Is the New Orange","Baggieland","Candlewhisper Archive",""
"#1267","Hamming It Up","Verdant Haven","Altmer Dominion",""
"#1268","Don't Sweat It","SherpDaWerp & Canyamel","Candlewhisper Archive",""
"#1269","All That Glitters","Candlewhisper Archive","Candlewhisper Archive",""
"#1270","I'll Be Watching You","Nation of Quebec","Baggieland",""
"#1271","Cathedrals Have Never Been Hotter","Crowden","Altmer Dominion",""
"#1272","Old News","Chan Island","Candlewhisper Archive",""
"#1273","Lessons in Politics","Candlewhisper Archive","The Free Joy State",""
"#1274","No Room Left for Asylum Seekers","The Marsupial Illuminati","Zwangzug",""
"#1275","You Cruise, You Lose?","Pogaria","Candlewhisper Archive",""
"#1276","A Boatload of Trouble","Candlewhisper Archive","Baggieland",""
"#1277","Outside the Box","Candlewhisper Archive","Candlewhisper Archive",""
"#1278","A Textbook Cover-Up?","Lislandia","Altmer Dominion",""
"#1279","Crate Work, Plane and Simple","Candensia","Candlewhisper Archive",""
"#1280","The Amazing, but Illegal, Spiderman","Baggieland","Baggieland",""
"#1281","The Not-So-Worldwide Web","Zwangzug","Candlewhisper Archive",""
"#1282","Resting in Peace","The Rhein States","Candlewhisper Archive",""
"#1283","Comrade, Please!","Caracasus","Altmer Dominion",""
"#1284","How to Choose the Chosen One","Baggieland","The Free Joy State",""
"#1285","Born to Kill","Jutsa","USS Monitor",""
"#1286","Burning Over a New Leaf","Palos Heights","The Free Joy State",""
"#1287","Children of the Magna Carta","Heavens Reach","Baggieland",""
"#1288","Have They Lost Their Minds?","USS Monitor","Candlewhisper Archive",""
"#1289","Cramping Our Style","The Free Joy State","Candlewhisper Archive",""
"#1290","Why Didn't the @@ANIMAL@@ Cross the Road?","SherpDaWerp","Ransium",""
"#1291","The Most Wonderful Time of the Year","The Free Joy State","Baggieland",""
"#1292","A Sticky End for @@LEADER@@?","Candlewhisper Archive","Ransium",""
"#1293","Bet Your Life","Candlewhisper Archive","Candlewhisper Archive",""
"#1294","Silence in Court","Fontenais","Candlewhisper Archive",""
"#1295","Show Trial","Fontenais","Candlewhisper Archive",""
"#1296","Once Upon a Time","Jutsa","Baggieland",""
"#1297","What Are You Hiding in Your Genes?","Daarwyrth","Zwangzug",""
"#1298","Ranchers Get Thrown to the Wolves","Ransium","Candlewhisper Archive",""
"#1299","A Silent Salute","Chan Island","Altmer Dominion",""
"#1300","Fifth Column in the Fifth Chord","Litauengrad","Candlewhisper Archive",""
"#1301","Meat the Neighbours","Candlewhisper Archive","Candlewhisper Archive",""
"#1302","The @@NAME@@ Identity","Ransium","Candlewhisper Archive",""
"#1303","Amateur Hour","Outer Sparta","Zwangzug",""
"#1304","Nothing to See","Sedgistan","Candlewhisper Archive",""
"#1305","The Woman From AUNT","Altmer Dominion","Candlewhisper Archive",""
"#1306","The Least Common Educator","Candensia","Baggieland",""
"#1307","A Duty to Serve","Conexia","USS Monitor",""
"#1308","One in the Oven","Maverique","Candlewhisper Archive",""
"#1309","Give @@A@@ @@ANIMAL@@ a Bone","Sedgistan","Candlewhisper Archive",""
"#1310","Intimate Relations","AnPrim Island","Sedgistan",""
"#1311","An Acquired Taste","The Marsupial Illuminati","Candlewhisper Archive",""
"#1312","Cranmer Vs. Cranmer","The Free Joy State","Baggieland",""
"#1313","The Meek Shall Inherit?","Nuremgard","Zwangzug",""
"#1314","Nothing to Write Home About","Candlewhisper Archive","Candlewhisper Archive",""
"#1315","No Boycott After All; Parliament Just Got Lost","AnPrim Island","Zwangzug",""
"#1316","Gonna Take My Hearse to the Old Town Road","Pangurstan","Candlewhisper Archive",""
"#1317","Nanny State","Nuremgard","The Free Joy State",""
"#1318","Blitzed","Baggieland","Baggieland",""
"#1319","Dying for Two","The Free Joy State","Candlewhisper Archive",""
"#1320","A Case of Poor Turnaround","Candlewhisper Archive","Candlewhisper Archive",""
"#1321","Who Wants to Know a Millionaire?","Asle Leopolka","Zwangzug",""
"#1322","Introducing Altengarten?","SherpDaWerp","Sedgistan",""
"#1323","Toss the Coin?","Frieden-und Freudenland","Baggieland",""
"#1324","Wrecked by Wrestling?","Voxija","Candlewhisper Archive",""
"#1325","Having Faith in Communism","Sensorland","Zwangzug",""
"#1326","Hostile Hospitality","Caracasus","Candlewhisper Archive",""
"#1327","Which Right Is Right?","Australian rePublic","Baggieland",""
"#1328","Not-So-Friendly Fire","Baggieland","Candlewhisper Archive",""
"#1329","A Little Bit Short","Ransium","Candlewhisper Archive",""
"#1330","Guilt by Association","Nuremgard","Baggieland",""
"#1331","Warning, Fatigue","Candlewhisper Archive","Candlewhisper Archive",""
"#1332","We Won't, We Won't Rock You","Sedgistan","Candlewhisper Archive",""
"#1333","Married With Benefits?","South Ccanda","Zwangzug",""
"#1334","Withdrawing Diplomatic Relations","USS Monitor","The Marsupial Illuminati",""
"#1335","First-Class Warfare","Krusavich","Altmer dominion & Zwangzug",""
"#1336","Take Good Care of My Baby","Candlewhisper Archive","The Free Joy State",""
"#1337","Waste Not Want Not","Candlewhisper Archive","The Free Joy State",""
"#1338","Slow and Stupid Is the Race","The Marsupial Illuminati","Baggieland",""
"#1339","AI Citizens Driving Change?","SherpDaWerp","Candlewhisper Archive",""
"#1340","Unnatural Conception","The Free Joy State","The Free Joy State",""
"#1341","Caught Off Guard","Aschenburg","The Free Joy State",""
"#1342","Uni-ted We Roll, Uni-ted We Fall","Fine Television Programming","Candlewhisper Archive",""
"#1343","Feeling Down","Seenvorland","Candlewhisper Archive",""
"#1344","Ups and Downs","Candlewhisper Archive","Candlewhisper Archive",""
"#1345","To Each According to Whatever's Left","Jutsa","The Free Joy State",""
"#1346","The Problem With Peyote","Voxija","Candlewhisper Archive",""
"#1347","Winning the Genetic Lottery","Anprim island","Candlewhisper Archive",""
"#1348","Heaven Can't Wait","Maria del Rey","Zwangzug",""
"#1349","You Must Be 18 Years or Older to View This Content","Noahs Second Country","The Marsupial Illuminati",""
"#1350","","Nuremgard","The Free Joy State",""
"#1351","Come Give @@LEADER@@ a Kiss!","Daarwyrth","Sanctaria",""
"#1352","The Brains Behind Kuru","Electrum","Zwangzug",""
"#1354","The One-Trick Pony","Jutsa","The Free Joy State",""
"#1355","Feeling Null","Krusavich","Zwangzug",""
"#1356","The Silicon Curtain","Guaylandia","The Marsupial Illuminati",""
"#1357","Scattered Showers","Omniabstracta","The Marsupial Illuminati",""
"#1358","Who's In Your Wallet?","Lancaster of Wessex","The Marsupial Illuminati",""
"#1359","Covering All the Angles","Pythaga","Zwangzug",""
"#1360","Ask A Stupid Question?","Fauxia","The Free Joy State",""
"#1361","Fundamental Rights","The Free Joy State","The Free Joy State",""
"#1362","The Trans Panic Button","Ransium","Candlewhisper Archive",""
"#1363","In My Defence","Candlewhisper Archive","Candlewhisper Archive",""
"#1364","Payday Groans","Lancaster of Wessex","Zwangzug",""
"#1365","Balancing the Box","Nuremgard","Electrum",""
"#1366","Parklife","Pythaga","Gnejs",""
"#1367","Sweet, Sweet Marketing","Lelscrep","Candlewhisper Archive",""
"#1368","Parking Hell","Genbu Kaiden","Electrum",""
"#1369","Negotiation Complication","Westinor","Candlewhisper Archive",""
"#1370","All Systems Post-Nominal","Verdant Haven","Candlewhisper Archive",""
"#1371","@@NATION@@ Rocked by Rolls' Fatal Role","Opatia","Noahs Second Country",""
"#1372","Balls to All That","Outer Sparta","Zwangzug",""
"#1373","You Should Have (Copy)Left My Software Alone!","SherpDaWerp","Electrum",""
"#1374","Protect and Swerve","Candensia","The Marsupial Illuminati",""
"#1375","Never Say Yes to a Conference Again","Pogaria","Pogaria ",""
"#1376","From East Lebatuck With Love","Pogaria","Pogaria ",""
"#1377","For @@LEADER@@'s Ears Only","Pogaria","Pogaria ",""
"#1378","Authorization to Kill","Pogaria","Pogaria ",""
"#1379","A View to a Thrill","Pogaria","Pogaria",""
"#1381","Chairman No","Pogaria","Pogaria ",""
"#1382","Leave and Let Die","Pogaria","Pogaria ",""
"#1383","You Only Negotiate Twice","Pogaria","Pogaria ",""
"#1384","On @@LEADER@@'s Secret Service","Pogaria","Pogaria ",""
"#1385","Skycrash","Pogaria","Pogaria ",""
"#1386","The Spy Who Tricked Me","Pogaria","Pogaria  ",""
"#1387","The @@DEMONYM@@ with the Golden Gun","Pogaria","Pogaria  ",""
"#1388","Tomorrow Never Arrives","Pogaria","Pogaria  ",""
"#1389","Die Some Other Day","Pogaria","Pogaria ",""
"#1390","Spectrum of Solace","Pogaria","Pogaria ",""
"#1391","The World Is Not Radioactive Enough","Pogaria","Pogaria ",""
"#1392","No Crime to Spy","Pogaria","Pogaria ",""
"#1393","Authorization to Kill","Pogaria","Pogaria ",""
"#1394","For @@LEADER@@'s Ears Only","Pogaria","Pogaria ",""
"#1395","For @@LEADER@@'s Ears Only","Pogaria","Pogaria ",""
"#1396","Skycrash","Pogaria","Pogaria ",""
"#1397","On @@LEADER@@'s Secret Service","Pogaria","Pogaria ",""
"#1398","Spectre Royale","Pogaria","Pogaria ",""
"#1399","VioletEye","Pogaria","Pogaria ",""
"#1400","President No","Pogaria","Pogaria ",""
"#1401","Leave and Let Die","Pogaria","Pogaria ",""
"#1402","You Only Negotiate Twice","Pogaria","Pogaria ",""
"#1403","Tomorrow Never Arrives","Pogaria","Pogaria ",""
"#1404","Die Some Other Day","Pogaria","Pogaria ",""
"#1405","Spectrum of Solace","Pogaria","Pogaria ",""
"#1406","Can't Touch This","Candlewhisper Archive","Candlewhisper Archive",""
"#1407","New Tricks","The Free Joy State","Candlewhisper Archive",""
"#1408","(A Lot Of) Pennies for Your Thoughts","Fauxia","Candlewhisper Archive",""
"#1409","Happy Pranksgiving!","Verdant Haven","Noahs Second Country",""
"#1410","Lives On-Line","Verdant Haven","Pogaria",""
"#1411","Atomic Split","Daarwyrth","Electrum",""
"#1412","Another Day, Another Dollar","Ransium","Electrum",""
"#1413","Old Fusion","Gabingston","Candlewhisper Archive",""
"#1414","My Milkshake Brings All the @@CURRENCYPLURAL@@ to the Yard","Zwangzug","Candlewhisper Archive",""
"#1415","The Melting Point","Westinor","Noahs Second Country",""
"#1416","Building on Sand","Fauxia","Zwangzug",""
"#1417","Nun on the Run","Sacara","Pogaria",""
"#1418","The High Life","USS Monitor","Candlewhisper Archive",""
"#1419","The Madson-Hashley Scandal","Electrum","Candlewhisper Archive",""
"#1421","Have Your Cake and Don't Eat It","Wischland","The Free Joy State",""
"#1422","Who Comes Up With This Ship?","Sedgistan","Pogaria",""
"#1423","A Slice of the Pi","Candlewhisper Archive","Candlewhisper Archive",""
"#1424","Here's Looking at Zoo, Kid","Socio Polor","Electrum",""
"#1425","@@LEADER@@'s New Clothes","The United Lands of Ash","The Free Joy State",""
"#1426","She's a Keeper","Honeydewistania & Australian rePublic","Electrum",""
"#1427","May the Fourth Estate Be With You","Cretox State","Electrum",""
"#1428","In the Bag","Indusse","Electrum",""
"#1420","Trading Climate Sours","Refuge Isle","Noahs Second Country",""
"#1429","The Wind Become Death","Westinor","Candlewhisper Archive",""
"#1430","Taking the Peace?","Candlewhisper Archive","Candlewhisper Archive",""
"#1431","Just Deserts for Desertion?","Baggieland","Pogaria",""
"#1432","Oh Dear","Vaddeem","Candlewhisper Archive",""
"#1433","Green Thumbs Sore","Cretox State","Frieden-und Freudenland",""
"#1434","Blood on Your Nuts","Candlewhisper Archive","Noahs Second Country",""
"#1435","A Hot Potato","Frieden-und Freudenland","Candlewhisper Archive",""
"#1436","Meat Meet","Fauxia","Frieden-und Freudenland",""
"#1437","Crushed Dreams","Lansaka","Candlewhisper Archive",""
"#1438","Push Polling","Cretox State","Candlewhisper Archive",""
"#1439","Philately Will Get You Nowhere","Candlewhisper Archive","Frieden-und Freudenland",""
"#1440","Dungeons and Deaths","Frieden-und Freudenland","Pogaria",""
"#1441","Don't Burn Baby Don't Burn","Apabeossie","Electrum",""
"#1442","A Green Bill of Health","Candensia","Electrum",""
"#1443","Forage and Forget","Candensia","Frieden-und Freudenland",""
"#1444","Trouble in Deed","Cretox State","Pogaria",""
"#1445","The Dialectics of Dialects","GeodesicDragon","Frieden-und Freudenland",""
"#1446","Yet Another Issue About Periods","Baggieland","Candlewhisper Archive",""
"#1447","The Lowest Form of Wit","Frieden-und Freudenland","Candlewhisper Archive",""
"#1448","A Seat Quite Vacant Is a Seat Distressed","SherpDaWerp","Pogaria",""
"#1449","Annie Get Your Gun","Candlewhisper Archive","Candlewhisper Archive",""
"#1450","Driving @@LEADER@@","Avaerilon","Pogaria",""
"#1451","A Dread Letter","Frieden-und Freudenland","The Free Joy State",""
"#1453","A Salt and Battery","Candensia","Pogaria",""
"#1455","Trademarks Make Their Mark on Marketing","Noahs Second Country","Pogaria",""
"#1454","Poplar Opinion","Honeydewistania","Candlewhisper Archive",""
